model,dataset,type,accuracy,f1_score
XGBoost,Training,3-Class,1,1
XGBoost,Validation,3-Class,0.3880597014925373,0.35945419103313836
XGBoost,Test,3-Class,0.18840579710144928,0.1778540835917885
XGBoost,Training,Binary,0.9873417721518988,0.9894736842105263
XGBoost,Validation,Binary,0.5223880597014925,0.6190476190476191
XGBoost,Test,Binary,0.4782608695652174,0.5909090909090908
