model,Training,Test,overfitting_gap,generalization
Logistic Regression,0.47151898734177217,0.2463768115942029,0.22514217574756926,✗ Poor
Random Forest,1,0.2608695652173913,0.7391304347826086,✗ Poor
XGBoost,1,0.18840579710144928,0.8115942028985508,✗ Poor
