model,train_accuracy,test_accuracy,overfitting_gap,generalization
XGBoost 3-Class,1,0.18840579710144928,0.8115942028985508,Poor
XGBoost Binary,0.9873417721518988,0.4782608695652174,0.5090809025866814,Poor
