model,dataset,type,accuracy,f1_score
Random Forest,Training,3-Class,1,1
Random Forest,Validation,3-Class,0.44776119402985076,0.38149504816171487
Random Forest,Test,3-Class,0.2608695652173913,0.25688859591298613
Random Forest,Training,Binary,1,1
Random Forest,Validation,Binary,0.5223880597014925,0.6190476190476191
Random Forest,Test,Binary,0.5797101449275363,0.6947368421052632
