date,ticker,target_3class,target_binary,ret_next,ret_1d,ret_2d,ret_5d,vol_5d,vol_20d,ma_ratio_5_20,ma_ratio_20_50,volume_ratio,momentum_5d,momentum_10d,oil_ret_1d,oil_ret_5d,usd_ret_1d,vix_level,vix_change_1d,sti_ret_1d,sent_composite_mean,sent_positive_share,article_count
2024-01-17,C6L.SI,DOWN,NOT_UP,-0.006191967673506799,-0.010719764152220963,-0.010719764152220963,-0.01223236853741948,0.0064500354408404395,0.008702413562512983,1.0103013109725807,1.0185408758299197,1.4661912854623789,-0.01223236853741948,0.006230547019238186,-0.005236986298566494,-0.005236986298566494,8.707075982893504e-4,20,0,0,0,0,0
2024-01-18,C6L.SI,UP,UP,0.01246101055824566,-0.006191967673506799,-0.01684535539262959,-0.022831012979775123,0.005192083291961099,0.008797548637838304,1.0052648109268025,1.0183292801083146,1.204916438445283,-0.022831012979775123,0.00943394636457005,0.015665142061231672,0.010346117628325411,8.700238756912365e-4,20,0,0,0,0,0
2024-01-19,C6L.SI,UP,UP,0.003076973055996243,0.01246101055824566,0.006191884710182977,-0.0030675343354975735,0.008791776111266974,0.009102359408801705,1.003402426310333,1.0184434926057915,0.9575763925749544,-0.0030675343354975735,0.017214340662529644,-0.006826813223062377,0.0034486733926306226,-0.002414525765785548,20,0,0,0,0,0
2024-01-22,C6L.SI,FLAT,NOT_UP,0,0.003076973055996243,0.015576325807980108,-0.001531418328596297,0.008910961194496912,0.009105477313038261,1.0016988485314549,1.0187768998818822,0.8444456851168274,-0.001531418328596297,0.020344281780921233,0.019093686947752632,0.02799178713479097,3.87268033428108e-4,20,0,0,0,0,0
2024-01-23,C6L.SI,FLAT,NOT_UP,0.0015337671677487868,0,0.003076973055996243,-0.001531418328596297,0.008910961194496912,0.008597986459597123,1.000694496875707,1.0184023218235867,0.9645269955891385,-0.001531418328596297,0.013996950375335215,-0.0063701539144150774,0.005689059245480838,0.002806550957015344,20,0,0,0,0,0
2024-01-24,C6L.SI,UP,UP,0.016845273318653035,0.0015337671677487868,0.0015337671677487868,0.010835922687805942,0.006740985028486633,0.008582500235404737,1.0020046254739243,1.017933311770043,0.9792163366071487,0.010835922687805942,-0.001528994849373766,0.006159620929878817,0.018839147185942023,-0.003667292730553751,20,0,0,0,0,0
2024-01-25,C6L.SI,UP,UP,0.006024113403622055,0.016845273318653035,0.018404877213549727,0.03426788338546395,0.007429456868713473,0.009290241014078968,1.0072363290821564,1.01750600011061,1.755553777534536,0.03426788338546395,0.010654499915325884,0.029860061997885236,0.049261747286786776,0.003196453292164359,20,0,0,0,0,0
2024-01-26,C6L.SI,DOWN,NOT_UP,-0.0029940604989886883,0.006024113403622055,0.022970864559061666,0.027692345240037785,0.006723873604518037,0.008893144886102641,1.0116109215252234,1.016843999609274,1.7406649907476794,0.027692345240037785,0.024539863684685945,0.013587319452086745,0.06351840183602706,-9.655158290600154e-4,20,0,0,0,0,0
2024-01-29,C6L.SI,FLAT,NOT_UP,0.001501525908906409,-0.0029940604989886883,0.003012016344650154,0.02147232934918837,0.007741126525110508,0.008901403749238373,1.015136375175808,1.0159200196484008,0.8738156160495828,0.02147232934918837,0.01990802790186907,-0.013764230806389076,0.02948526465963264,0.0013530432782137174,20,0,0,0,0,0
2024-01-30,C6L.SI,FLAT,NOT_UP,0.001499274709086148,0.001501525908906409,-0.0014970302494943441,0.023006096516937156,0.00756051089857751,0.008856040663876361,1.0187288783433177,1.015263575324848,1.1460812406793794,0.023006096516937156,0.021439446230465366,0.005703898203879455,0.005337892026898636,-0.0020268225387084448,20,0,0,0,0,0
2024-01-31,C6L.SI,UP,UP,0.010479051284458212,0.001499274709086148,0.003003051817812818,0.022970864559061666,0.0075640026211026825,0.007593197651084599,1.021296134137087,1.015589097896913,1.11157458529664,0.022970864559061666,0.03405569775930166,-0.013997871650332717,-0.022022787553284767,-0.0012573005889169396,20,0,0,0,0,0
2024-02-01,C6L.SI,UP,UP,0.013333311101620287,0.010479051284458212,0.011994036970110365,0.016566291681380216,0.005124740719154365,0.007321301935044387,1.021614589191949,1.0169819954639778,1.0886383149218706,0.016566291681380216,0.05140186681831129,-0.03683762293423473,-0.05804914334367083,-0.0021302759606835354,20,0,0,0,0,0
2024-02-02,C6L.SI,FLAT,NOT_UP,0,0.013333311101620287,0.023952082836904014,0.023952082836904014,0.006848075914178355,0.007672405801676965,1.0229867409891122,1.0185202578768076,1.670053237973204,0.023952082836904014,0.05230771742407933,-0.017407816649452866,-0.07444645114913927,0.008442456006047249,20,0,0,0,0,0
2024-02-05,C6L.SI,FLAT,NOT_UP,-0.0014619336623115022,0,0.013333311101620287,0.0270270640006206,0.006088944149167853,0.007672405801676965,1.0249563771271701,1.0200526314783733,1.1232374202222573,0.0270270640006206,0.04907972736937189,0.008534799134710459,-0.04552687874659439,0.005100065325590584,20,0,0,0,0,0
2024-02-06,C6L.SI,FLAT,NOT_UP,0,-0.0014619336623115022,-0.0014619336623115022,0.02398807394022073,0.006674786600974438,0.007717002293887921,1.0266959116037855,1.021193502078492,0.8564598402466828,0.02398807394022073,0.04754604240148203,0.007693274657721521,-0.00139772064316477,-0.0025849368210149105,20,0,0,0,0,0
2024-02-07,C6L.SI,DOWN,NOT_UP,-0.005856531572657048,0,-0.0014619336623115022,0.02245513281841077,0.006888697590268023,0.00699081654865021,1.0289767666408123,1.0216681857916177,1.0719047400119535,0.02245513281841077,0.04594181119209989,0.007889079723536125,0.024311356639112186,-0.0013438221274557067,20,0,0,0,0,0
2024-02-08,C6L.SI,FLAT,NOT_UP,0.0014726989493305685,-0.005856531572657048,-0.005856531572657048,0.005925942511489628,0.0071933601826129154,0.00718993127381063,1.028476730489114,1.0216354173988695,0.8238806475433597,0.005925942511489628,0.02259040508500227,0.030551675254591674,0.055605784566740576,0.0010572915165665438,20,0,0,0,0,0
2024-02-09,C6L.SI,UP,UP,0.042647120716612676,0.0014726989493305685,-0.004392457531220253,-0.005847969712006591,0.002818264430311117,0.006851616179868351,1.025109014074759,1.0221251278976302,0.5004265977511358,-0.005847969712006591,0.017964042069927737,0.006860286742994261,0.06284754293643184,-6.721045972027703e-4,20,0,0,0,0,0
2024-02-13,C6L.SI,UP,UP,0.007052149075021976,0.042647120716612676,0.044182626035814576,0.036549751934351046,0.01991553427676733,0.011353124910288916,1.028297666464171,1.0237574586649318,2.991407929053374,0.036549751934351046,0.06456464841970816,0.009390202964224466,0.013965446870092895,0.0075837662418511516,20,0,0,0,0,0
2024-02-14,C6L.SI,UP,UP,0.012605096263335712,0.007052149075021976,0.05000002364454866,0.04538794313290972,0.019327957387548604,0.011325868144870896,1.032863859065636,1.0257610799415844,1.1518887098292658,0.04538794313290972,0.07046478640899723,-0.014135534812098154,-0.007178536923706428,-0.0022865650329929885,20,0,0,0,0,0
2024-02-15,C6L.SI,UP,UP,0.012448037429136726,0.012605096263335712,0.019746138356311733,0.05856515878863057,0.01866084355982655,0.010863851144037838,1.0388263284852035,1.0288153727101028,1.6931119026691956,0.05856515878863057,0.08233538002617136,0.015441202938625914,0.0081518207694781155,-0.004010677655170605,20,0,0,0,0,0
2024-02-16,C6L.SI,DOWN,NOT_UP,-0.002732138414484053,0.012448037429136726,0.025210042402556313,0.07805588583891587,0.01598802202929245,0.010585830914319404,1.0475489448071165,1.0325277423620058,2.185463609468922,0.07805588583891587,0.08444438304257032,0.007361822421654148,0.015573655448050313,-1.9179551175094964e-4,20,0,0,0,0,0
2024-02-19,C6L.SI,UP,UP,0.009588975724716151,-0.002732138414484053,0.009681889253407593,0.07352950217033312,0.01697374931927948,0.010690245128150538,1.0560515247037583,1.035303036456533,1.0315717049818949,0.07352950217033312,0.0672515341566955,0,0.02291670075429095,0,20,0,0,0,0,0
2024-02-20,C6L.SI,DOWN,NOT_UP,-0.0949796603415201,0.009588975724716151,0.006830638901299047,0.039492201121217096,0.006312261278581973,0.010699746522442388,1.0576685360353149,1.0385010468893665,0.8560788136050621,0.039492201121217096,0.07748538320989012,-0.013537856311091369,-0.006275697183569345,-0.0019178840677345087,20,0,0,0,0,0
2024-02-21,C6L.SI,DOWN,NOT_UP,-0.011993956618820956,-0.0949796603415201,-0.08630144227416058,-0.06582634693232631,0.04647266362965929,0.02505036850527428,1.0428592198437758,1.0387238955037863,4.875575483876554,-0.06582634693232631,-0.023426126290628194,0.0083799182911638,-0.005271384149652029,-6.72556625602717e-4,20,0,0,0,0,0
2024-02-22,C6L.SI,DOWN,NOT_UP,-0.006069738311764675,-0.011993956618820956,-0.10583443503453452,-0.0885200773685329,0.04439086582013667,0.025229983709788597,1.0238164359283544,1.0386123697222995,2.149889027875134,-0.0885200773685329,-0.03513911096697233,0.007708050091023466,0.002396033848296891,-4.807523385329748e-4,20,0,0,0,0,0
2024-02-23,C6L.SI,DOWN,NOT_UP,-0.006106968666887917,-0.006069738311764675,-0.01799089475258673,-0.10519113620379193,0.04197061565407881,0.02498081551664708,1.0021071173003941,1.0376519251931806,0.8590379326754071,-0.10519113620379193,-0.03534603768366509,-0.024500961721356306,-0.02216363300665961,-1.9234939633039035e-4,20,0,0,0,0,0
2024-02-26,C6L.SI,FLAT,NOT_UP,0,-0.006106968666887917,-0.012139639276966435,-0.1082192374191038,0.041624326764464016,0.024964614136685766,0.9803579277130995,1.0360577698270172,0.8403569209916982,-0.1082192374191038,-0.042647041901450466,0.011149179148403684,-0.006021919876562404,-0.0010583087143332787,20,0,0,0,0,0
2024-02-27,C6L.SI,DOWN,NOT_UP,-0.009216657012556051,0,-0.006106968666887917,-0.11668928244710017,0.03999927413242306,0.024960867588356358,0.9563760870650722,1.0347400206327182,0.6934457310359492,-0.11668928244710017,-0.08180539793697446,0.013570856211656584,-2.38994185538636e-4,0,20,0,0,0,0,0
